City,Date,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed
Bandarbeyla,1583576220,9.49,50.81,78.98,69,25,8.66
Cortez,1583576220,37.35,-108.59,42.8,35,1,4.7
Sūsangerd,1583576220,31.56,48.18,77.0,27,90,13.87
Moranbah,1583576220,-22.0,148.05,81.59,70,26,9.51
Cap Malheureux,1583576221,-19.98,57.61,82.4,88,90,10.29
Maceió,1583576214,-9.67,-35.74,78.8,88,40,2.24
Dunedin,1583576109,-45.87,170.5,62.01,83,100,1.01
Río Gallegos,1583576221,-51.62,-69.22,42.8,93,29,9.17
Dvinskoy Bereznik,1583576222,62.86,42.71,31.77,83,53,8.23
Jumla,1583576222,29.27,82.18,35.42,98,100,5.77
Kang,1583576222,-23.68,22.79,78.82,33,0,12.59
Valdemārpils,1583576222,57.37,22.59,42.8,75,100,8.05
Nuuk,1583576223,64.18,-51.72,15.8,85,100,23.04
Lompoc,1583576223,34.64,-120.46,51.01,93,90,4.27
Amga,1583576223,60.9,131.96,16.29,95,100,5.48
Sittwe,1583576223,20.15,92.9,78.76,63,0,14.2
Bambous Virieux,1583576223,-20.34,57.76,82.4,88,90,10.29
Vestmannaeyjar,1583576224,63.44,-20.27,32.0,62,75,38.03
Thessalon,1583576224,46.25,-83.57,10.4,84,1,4.07
Barra Patuca,1583576224,15.8,-84.28,79.03,77,0,14.97
Temba,1583576224,-25.38,28.26,73.0,49,0,3.36
Gaza,1583576225,31.5,34.47,66.2,59,40,10.29
Hakui,1583576225,36.88,136.78,48.2,45,100,2.24
Yerbogachën,1583576225,61.28,108.01,-1.12,88,100,8.86
Pacific Grove,1583576225,36.62,-121.92,52.0,81,90,4.7
Berlevåg,1583576226,70.86,29.09,33.62,73,100,14.56
Zhigansk,1583576226,66.77,123.37,14.14,93,100,16.51
Luorong,1583576226,24.41,109.61,75.85,73,90,12.44
Balclutha,1583576227,-46.23,169.75,61.48,61,100,1.97
Gornopravdinsk,1583576227,60.05,69.9,29.64,78,99,16.8
Aiken,1583576227,33.58,-81.6,41.0,86,1,5.82
Bjerkvik,1583576228,68.56,17.52,37.99,94,75,17.22
Mareeba,1583576229,-17.0,145.43,84.2,79,100,2.24
Kupang,1583576229,-10.17,123.58,80.6,94,40,3.36
Puerto Madero,1583576229,14.72,-92.42,71.6,88,5,8.72
Sungai Raya,1583576229,0.7,108.9,85.46,68,99,8.01
Bloemfontein,1583576229,-29.12,26.21,77.0,47,0,9.17
Anderson,1583576230,34.53,-82.65,37.4,59,1,5.99
Preobrazheniye,1583576230,42.9,133.91,28.04,86,100,5.68
San Quintín,1583576230,30.48,-115.95,57.0,87,88,8.05
Boueni,1583576230,-12.9,45.08,77.0,94,100,6.93
State College,1583576186,40.79,-77.86,32.0,74,90,12.75
Praia da Vitória,1583576231,38.73,-27.07,64.4,77,75,25.05
Byron Bay,1583576122,-28.65,153.62,73.99,94,90,12.75
Banda Aceh,1583576231,5.56,95.32,87.03,58,48,8.97
Leningradskiy,1583576231,69.38,178.42,-9.63,95,72,3.47
Halifax,1583576004,44.65,-63.57,24.01,73,90,27.51
Timizart,1583576232,36.8,4.27,53.69,70,2,19.35
College,1583576232,64.86,-147.8,1.99,77,1,1.63
Liverpool,1583576172,53.41,-2.98,52.0,87,100,11.41
Kirakira,1583576232,-10.45,161.92,79.56,79,9,1.19
Östersund,1583576232,63.18,14.64,30.0,79,43,5.82
Borger,1583576233,52.92,6.79,46.99,70,40,9.17
Sabang,1583576233,5.89,95.32,83.34,74,13,14.45
Bairiki Village,1583576233,1.33,172.98,84.2,79,75,4.7
Sri Aman,1583576233,1.24,111.46,82.4,88,75,2.24
Lahaina,1583575969,20.88,-156.68,71.6,88,20,17.22
Egvekinot,1583576233,66.32,-179.17,-13.72,92,61,5.55
Penzance,1583576234,50.12,-5.54,53.01,100,75,17.22
Stornoway,1583576234,58.21,-6.39,48.99,100,75,24.16
Shimoda,1583576234,34.67,138.95,50.0,78,36,1.99
Puri,1583575983,19.8,85.85,86.0,62,40,2.24
Rāmtek,1583576235,21.4,79.33,87.8,31,40,3.36
Hare Bay,1583576235,48.85,-54.01,15.8,78,90,10.29
Chingirlau,1583576235,51.09,54.08,23.81,72,90,13.53
Visby,1583576237,57.64,18.3,45.0,70,75,13.87
San Felipe,1583576237,10.34,-68.74,68.72,93,60,2.01
Martvili,1583576237,42.41,42.38,66.2,22,40,31.09
Kampong Thom,1583576144,12.71,104.89,97.74,32,100,5.88
Bonavista,1583576238,48.65,-53.11,18.32,83,98,10.89
Santa Rosalía,1583576238,27.32,-112.28,62.51,44,0,9.08
Kumul,1583576238,42.8,93.45,48.76,25,100,6.33
Acarí,1583576239,-15.43,-74.62,65.12,89,100,2.51
Takoradze,1583576239,4.88,-1.76,85.98,71,65,6.46
Poum,1583576239,-20.23,164.02,82.44,78,47,16.53
Cuamba,1583576239,-14.8,36.54,76.42,72,57,8.37
Gimli,1583576239,50.63,-96.99,32.0,91,100,3.0
Dingcheng,1583576240,32.13,115.04,65.75,51,100,6.98
Grindavik,1583576240,63.84,-22.43,32.0,68,100,17.22
Narsaq,1583576057,60.92,-46.05,33.8,29,20,11.41
Saint Paul Harbor,1583576240,57.79,-152.41,24.8,73,1,5.82
San Ignacio,1583576240,17.16,-89.07,68.0,100,90,9.17
Independenţa,1583576241,45.48,27.75,59.0,51,40,11.41
Wuwei,1583576241,37.93,102.64,52.16,19,0,7.63
Deputatsky,1583576241,69.3,139.9,-12.69,88,81,1.57
Lovozero,1583576241,68.0,35.01,29.7,80,1,11.23
Mandiana,1583576241,10.63,-8.68,78.08,49,0,3.94
Alboraya,1583576157,39.5,-0.35,57.99,45,20,10.29
Forbes,1583576242,-33.38,148.02,72.0,66,72,6.38
Muzhi,1583576242,65.37,64.67,31.59,93,100,12.68
Matina,1583576242,10.08,-83.29,72.0,94,0,4.76
Port Hueneme,1583576242,34.15,-119.2,57.2,71,90,5.82
Sola,1583576243,-13.88,167.55,80.6,94,20,7.34
Palana,1583576243,59.12,159.97,1.69,99,17,0.63
Haines Junction,1583576243,60.75,-137.51,-5.67,99,100,1.28
Puerto Baquerizo Moreno,1583576243,-0.9,-89.6,79.97,77,68,1.41
Ko Samui,1583576244,9.54,99.94,87.8,66,20,8.05
Prince Rupert,1583576244,54.32,-130.32,30.2,86,1,8.05
Marquette,1583576244,46.53,-87.63,23.0,92,1,10.29
Yasnyy,1583576244,51.03,59.87,15.12,71,0,14.41
Ubari,1583576244,26.59,12.78,77.13,11,0,18.66
Bani Walid,1583576244,31.76,13.99,66.27,40,60,14.83
Mookane,1583576245,-23.69,26.66,79.18,32,0,11.83
Gobabis,1583576245,-22.45,18.97,80.6,36,0,6.93
Oodweyne,1583576245,9.41,45.06,84.06,26,0,5.17
Necochea,1583576246,-38.55,-58.74,66.99,95,100,11.01
Plastun,1583576246,44.76,136.29,24.78,91,100,4.21
Bukachacha,1583576246,52.98,116.92,17.38,64,96,9.17
Denpasar,1583576246,-8.65,115.22,79.54,80,100,3.4
Kisangani,1583576247,0.52,25.2,93.51,40,100,3.76
Half Moon Bay,1583576247,37.46,-122.43,52.0,87,90,5.82
Funadhoo,1583576247,6.15,73.27,83.19,67,1,2.98
Flin Flon,1583576247,54.77,-101.86,-3.59,93,100,11.68
Chui,1583576249,-33.7,-53.46,63.82,84,20,7.72
Province of Mantua,1583576249,45.17,10.78,55.99,66,100,3.36
Naliya,1583576249,23.27,68.83,83.84,19,0,5.84
Santa Rosa,1583576249,14.31,121.11,91.4,55,20,5.82
Qui Nhon,1583576033,13.77,109.23,81.54,66,33,6.96
Pontes e Lacerda,1583576250,-15.23,-59.34,68.36,80,16,1.52
Coshocton,1583576250,40.27,-81.86,32.0,68,90,10.29
Tateyama,1583576250,34.98,139.87,48.99,66,75,10.29
Korla,1583576250,41.76,86.15,52.0,43,100,7.0
Vila Praia de Âncora,1583576251,41.81,-8.85,57.2,71,20,3.36
Sfântu Gheorghe,1583576251,45.87,25.78,50.05,52,36,2.13
Bunbury,1583576251,-33.33,115.63,75.0,43,49,17.58
Solnechnyy,1583576252,50.72,136.63,15.01,92,88,3.44
Puerto Carreño,1583576252,6.19,-67.49,78.62,64,100,7.61
Longyearbyen,1583576252,78.22,15.64,19.4,85,75,1.12
Elliot Lake,1583576252,46.38,-82.63,1.4,84,1,0.67
Jiuquan,1583576252,39.74,98.52,36.32,34,92,3.27
Litovko,1583576253,49.24,135.17,21.27,95,100,0.87
Marihatag,1583576253,8.79,126.3,80.83,83,100,12.01
Morondava,1583576253,-20.28,44.28,95.7,46,0,4.12
Coyhaique,1583576253,-45.58,-72.07,46.4,87,90,4.7
Los Negros,1583576253,-17.73,-63.43,73.4,94,0,3.36
Makakilo City,1583576254,21.35,-158.09,75.2,93,90,5.82
Tuatapere,1583576254,-46.13,167.68,57.99,96,100,7.0
Talara,1583576254,-4.58,-81.27,76.3,88,51,5.41
Stann Creek Town,1583576254,16.97,-88.23,68.0,89,100,3.0
Khiri Mat,1583576254,16.83,99.8,97.0,37,40,6.93
Micheweni,1583576255,-4.97,39.83,85.14,76,11,13.85
Görele,1583576093,41.03,39.0,53.6,81,0,5.82
Cabedelo,1583576255,-6.98,-34.83,78.8,100,40,4.7
Cochrane,1583576031,51.18,-114.47,18.0,85,90,9.17
Viedma,1583576224,-40.81,-63.0,80.4,40,94,14.16
Puerto Suárez,1583576256,-18.95,-57.8,67.75,69,0,2.75
Quatre Cocos,1583576256,-20.21,57.76,82.4,88,90,10.29
Pedersore,1583576257,63.65,22.68,37.0,74,36,11.41
Princeton,1583576257,25.54,-80.41,64.0,62,1,11.41
Phayakkhaphum Phisai,1583576258,15.52,103.19,97.0,41,20,6.93
Emerald,1583576258,-23.53,148.17,84.2,62,21,8.05
